	herb_id	herb_name	Type	target	inte
0	HBIN003308	[(1s,5s,7s)-7-acetoxy-5-isopropenyl-2,8-dimethylene-cyclodecyl] acetate	terpenes	NCOA2	jvhua
1	HBIN003308	[(1s,5s,7s)-7-acetoxy-5-isopropenyl-2,8-dimethylene-cyclodecyl] acetate	terpenes	NOS2	jvhua
2	HBIN003308	[(1s,5s,7s)-7-acetoxy-5-isopropenyl-2,8-dimethylene-cyclodecyl] acetate	terpenes	AR	jvhua
3	HBIN003308	[(1s,5s,7s)-7-acetoxy-5-isopropenyl-2,8-dimethylene-cyclodecyl] acetate	terpenes	ESR1	jvhua
4	HBIN003308	[(1s,5s,7s)-7-acetoxy-5-isopropenyl-2,8-dimethylene-cyclodecyl] acetate	terpenes	PPARG	jvhua
5	HBIN003308	[(1s,5s,7s)-7-acetoxy-5-isopropenyl-2,8-dimethylene-cyclodecyl] acetate	terpenes	CA2	jvhua
6	HBIN003308	[(1s,5s,7s)-7-acetoxy-5-isopropenyl-2,8-dimethylene-cyclodecyl] acetate	terpenes	DPP4	jvhua
7	HBIN003308	[(1s,5s,7s)-7-acetoxy-5-isopropenyl-2,8-dimethylene-cyclodecyl] acetate	terpenes	PTGS2	jvhua
8	HBIN004383	24-ethylcholest-4-en-3-one	steroids	AR	jvhua
9	HBIN004383	24-ethylcholest-4-en-3-one	steroids	NR3C1	jvhua
10	HBIN004383	24-ethylcholest-4-en-3-one	steroids	ESR1	jvhua
11	HBIN004383	24-ethylcholest-4-en-3-one	steroids	NR3C2	jvhua
12	HBIN004383	24-ethylcholest-4-en-3-one	steroids	PGR	jvhua
13	HBIN004514	(24r)-saringosterol	steroids	PGR	jvhua
14	HBIN004514	(24r)-saringosterol	steroids	ESR1	jvhua
15	HBIN004514	(24r)-saringosterol	steroids	AR	jvhua
16	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	CCNA2	jvhua
17	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	PRSS1	jvhua
18	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	MAPK14	jvhua
19	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	DPEP1	jvhua
20	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	AR	jvhua
21	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	PTGS1	jvhua
22	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	NCOA2	jvhua
23	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	PIM1	jvhua
24	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	CHEK1	jvhua
25	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	NCOA1	jvhua
26	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	SCN5A	jvhua
27	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	PPARG	jvhua
28	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	GSK3B	jvhua
29	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	CDK2	jvhua
30	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	DPP4	jvhua
31	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	PTGS2	jvhua
32	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	NOS2	jvhua
33	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	ESR2	jvhua
34	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	ESR1	jvhua
35	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	CALM3	jvhua
36	HBIN011258	5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one	flavonoids	CA2	jvhua
37	HBIN014294	acacetin	flavonoids	CCNA2	jvhua
38	HBIN014294	acacetin	flavonoids	CDKN1A	jvhua
39	HBIN014294	acacetin	flavonoids	TP53	jvhua
40	HBIN014294	acacetin	flavonoids	FASLG	jvhua
41	HBIN014294	acacetin	flavonoids	PRSS1	jvhua
42	HBIN014294	acacetin	flavonoids	MAPK14	jvhua
43	HBIN014294	acacetin	flavonoids	ADRB2	jvhua
44	HBIN014294	acacetin	flavonoids	BAX	jvhua
45	HBIN014294	acacetin	flavonoids	RELA	jvhua
46	HBIN014294	acacetin	flavonoids	DPEP1	jvhua
47	HBIN014294	acacetin	flavonoids	BCL2	jvhua
48	HBIN014294	acacetin	flavonoids	AR	jvhua
49	HBIN014294	acacetin	flavonoids	PTGS1	jvhua
50	HBIN014294	acacetin	flavonoids	CYP19A1	jvhua
51	HBIN014294	acacetin	flavonoids	NCOA2	jvhua
52	HBIN014294	acacetin	flavonoids	PIM1	jvhua
53	HBIN014294	acacetin	flavonoids	CHEK1	jvhua
54	HBIN014294	acacetin	flavonoids	NCOA1	jvhua
55	HBIN014294	acacetin	flavonoids	CASP3	jvhua
56	HBIN014294	acacetin	flavonoids	HTR1A	jvhua
57	HBIN014294	acacetin	flavonoids	GSK3B	jvhua
58	HBIN014294	acacetin	flavonoids	CASP8	jvhua
59	HBIN014294	acacetin	flavonoids	CDK2	jvhua
60	HBIN014294	acacetin	flavonoids	DPP4	jvhua
61	HBIN014294	acacetin	flavonoids	PTGS2	jvhua
62	HBIN014294	acacetin	flavonoids	PPARG	jvhua
63	HBIN014294	acacetin	flavonoids	PDE3A	jvhua
64	HBIN014294	acacetin	flavonoids	NOS2	jvhua
65	HBIN014294	acacetin	flavonoids	ESR2	jvhua
66	HBIN014294	acacetin	flavonoids	ESR1	jvhua
67	HBIN014294	acacetin	flavonoids	CALM3	jvhua
68	HBIN014294	acacetin	flavonoids	KCNA5	jvhua
69	HBIN014294	acacetin	flavonoids	CA2	jvhua
70	HBIN014294	acacetin	flavonoids	FASN	jvhua
71	HBIN016945	artemetin	flavonoids	CCNA2	jvhua
72	HBIN016945	artemetin	flavonoids	F7	jvhua
